id,name,origin,temperament,life_span,image_url
abys,Abyssinian,Egypt,"Active, Energetic, Independent, Intelligent, Gentle",14 - 15,
aege,Aegean,Greece,"Affectionate, Social, Intelligent, Playful, Active",9 - 12,
abob,American Bobtail,United States,"Intelligent, Interactive, Lively, Playful, Sensitive",11 - 15,
acur,American Curl,United States,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",12 - 16,
asho,American Shorthair,United States,"Active, Curious, Easy Going, Playful, Calm",15 - 17,
awir,American Wirehair,United States,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",14 - 18,
amau,Arabian Mau,United Arab Emirates,"Affectionate, Agile, Curious, Independent, Playful, Loyal",12 - 14,
amis,Australian Mist,Australia,"Lively, Social, Fun-loving, Relaxed, Affectionate",12 - 16,
bali,Balinese,United States,"Affectionate, Intelligent, Playful",10 - 15,
bamb,Bambino,United States,"Affectionate, Lively, Friendly, Intelligent",12 - 14,
beng,Bengal,United States,"Alert, Agile, Energetic, Demanding, Intelligent",12 - 15,
birm,Birman,France,"Affectionate, Active, Gentle, Social",14 - 15,
bomb,Bombay,United States,"Affectionate, Dependent, Gentle, Intelligent, Playful",12 - 16,
bslo,British Longhair,United Kingdom,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",12 - 14,
bsho,British Shorthair,United Kingdom,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm",12 - 17,
bure,Burmese,Burma,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",15 - 16,
buri,Burmilla,United Kingdom,"Easy Going, Friendly, Intelligent, Lively, Playful, Social",10 - 15,
cspa,California Spangled,United States,"Affectionate, Curious, Intelligent, Loyal, Social",10 - 14,
ctif,Chantilly-Tiffany,United States,"Affectionate, Demanding, Interactive, Loyal",14 - 16,
char,Chartreux,France,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",12 - 15,
chau,Chausie,Egypt,"Affectionate, Intelligent, Playful, Social",12 - 14,
chee,Cheetoh,United States,"Affectionate, Gentle, Intelligent, Social",12 - 14,
csho,Colorpoint Shorthair,United States,"Affectionate, Intelligent, Playful, Social",12 - 16,
